Prsnlty_type,HrsSmrtPhnUse_Wkday,CallFamMem,CallFrnds,Txtng,Entertainment,NgtvePhysHlthEffcts_SmrtPhnUse,DcreasdSlpTimeQulty_SmrtPhnUse,TiredDaytime_latenightSmrtPhnUse,Compulsive_Behavior,Functional_Impairment,TotAddiction_Score,Depression_score,Anxiety_score
1,1,1,1,1,1,2,2,3,25,17,63,1,2
0,1,1,1,1,1,1,1,2,17,12,45,2,2
0,1,1,1,1,1,2,2,3,20,19,59,1,1
0,1,0,1,1,1,3,3,3,27,22,74,1,0
0,1,0,0,1,1,3,2,1,22,12,56,0,0
1,1,0,0,1,0,1,3,3,18,17,60,5,6
0,1,1,1,1,1,2,2,2,20,19,68,2,1
0,0,0,1,0,0,3,2,3,24,20,66,2,3
0,1,0,0,1,0,3,2,1,15,15,50,0,3
0,1,1,1,1,1,3,2,3,24,19,64,2,2
0,1,0,0,0,1,3,2,2,23,17,63,0,1
1,1,1,1,1,1,1,2,2,15,11,44,0,0
0,1,0,0,0,1,4,3,2,29,22,80,2,5
0,1,1,1,1,1,1,3,3,22,23,73,2,3
0,1,0,0,0,1,4,3,3,29,20,76,3,4
0,1,1,1,1,1,4,3,4,19,19,55,0,2
0,0,0,0,1,0,1,1,1,15,11,40,2,1
0,0,1,0,0,0,2,2,2,18,16,51,1,0
1,1,1,1,1,1,4,3,3,26,23,74,3,2
0,1,1,1,1,1,3,3,3,21,22,64,3,1
1,1,1,1,1,1,3,2,3,23,18,61,1,1
0,1,0,0,1,1,3,3,3,24,20,67,1,2
0,1,1,0,0,0,2,3,3,22,20,63,2,2
0,1,1,1,1,1,3,4,2,27,22,74,2,2
1,1,1,1,1,1,2,4,2,20,20,59,0,1
1,1,1,1,1,0,1,1,1,12,9,32,1,2
1,1,0,0,1,0,2,1,2,21,17,60,3,1
0,1,1,1,1,1,1,1,1,9,10,35,1,1
1,1,1,1,1,1,3,2,3,22,17,61,1,2
0,1,0,1,1,1,4,3,3,26,25,76,3,3
0,1,1,1,1,1,3,3,3,27,23,77,2,1
0,1,1,1,1,1,3,3,2,15,17,49,2,1
0,1,1,1,1,1,1,2,2,20,17,58,2,2
0,1,1,1,1,1,2,4,4,23,26,78,3,3
1,1,1,1,1,1,4,3,3,26,18,71,4,6
0,1,1,1,1,1,1,3,2,19,22,65,2,1
0,1,1,1,1,1,2,2,1,13,13,48,3,1
0,0,1,1,1,0,1,1,1,9,8,26,0,0
0,1,1,1,1,1,2,2,1,19,19,57,2,4
0,1,1,1,1,1,2,4,3,17,17,49,1,2
0,1,1,1,1,1,4,3,3,26,19,71,2,1
1,1,1,1,1,1,2,2,2,26,19,72,0,0
1,1,1,1,1,1,2,2,3,17,20,60,1,2
0,1,0,0,1,1,2,2,2,21,16,61,2,3
0,0,1,1,1,1,2,2,2,17,15,50,2,1
0,0,1,1,1,1,1,1,1,12,9,32,0,1
0,1,0,0,0,0,2,3,3,21,19,61,2,2
1,1,1,1,1,1,4,4,4,36,32,102,2,2
0,1,1,0,1,1,1,1,1,18,11,52,1,0
0,1,1,1,1,1,4,1,1,13,9,33,0,1
0,1,1,1,1,1,1,1,1,12,9,35,0,2
0,1,1,0,1,1,2,1,1,14,9,35,1,2
0,1,1,1,1,1,1,2,1,15,11,51,3,1
1,1,1,1,1,1,3,3,4,24,26,79,4,2
0,1,1,1,1,1,1,1,1,9,8,26,0,1
0,1,0,0,0,1,3,2,3,19,19,61,2,5
0,1,1,0,1,0,3,2,2,17,15,51,2,0
1,1,0,0,1,0,3,2,3,25,19,73,3,1
0,1,1,1,1,1,2,2,2,18,17,54,1,2
0,1,1,1,1,1,1,1,1,10,10,33,3,5
1,0,1,1,1,1,2,2,2,22,17,60,1,2
0,1,0,0,1,0,1,2,2,22,16,68,2,2
1,1,0,0,1,0,4,3,1,25,15,65,2,3
0,0,0,0,0,1,1,2,2,17,17,51,1,4
1,1,1,1,1,1,2,1,1,18,10,51,0,1
0,1,1,1,1,1,3,2,1,17,14,51,2,0
0,0,0,0,1,0,1,1,1,9,9,29,0,1
0,1,0,0,1,0,1,1,1,11,8,30,1,1
0,1,1,1,1,0,3,3,3,27,24,78,2,2
0,1,1,1,0,1,2,4,3,21,19,54,2,1
0,1,0,0,1,0,2,3,3,21,20,66,2,3
0,1,1,1,1,1,4,2,1,21,16,59,2,2
1,0,1,1,1,0,1,1,1,10,12,34,1,2
0,0,0,0,1,0,3,1,1,18,9,41,1,0
0,1,0,0,1,0,1,1,1,10,8,32,0,0
0,1,1,1,1,1,3,2,3,21,17,57,0,1
1,1,1,1,1,1,3,3,3,21,21,64,2,3
0,1,0,0,1,1,1,2,2,20,14,50,2,4
0,1,1,1,1,1,4,3,3,24,20,65,0,2
0,1,1,1,1,1,1,1,1,10,12,34,0,0
1,1,1,1,1,1,2,2,1,18,15,52,1,2
1,1,0,0,1,0,1,3,2,19,18,62,2,3
0,1,1,1,1,1,1,2,1,13,12,43,1,3
1,1,1,1,1,1,1,2,2,17,17,56,4,6
0,1,1,1,1,1,1,1,1,10,9,37,0,0
0,1,1,1,1,1,1,1,1,13,10,36,0,0
0,1,1,0,1,1,1,1,1,9,8,28,2,2
1,1,1,1,1,1,2,3,2,25,21,73,3,6
0,1,0,1,1,0,1,3,2,16,19,58,1,1
0,1,1,1,1,1,1,1,2,15,13,46,0,0
0,1,1,1,1,1,1,1,1,11,10,34,1,2
0,1,1,1,0,1,4,4,4,22,24,65,1,1
1,1,1,1,1,1,2,3,3,26,23,76,2,1
0,1,0,1,1,0,3,2,2,22,20,65,2,1
0,1,0,1,1,0,3,4,4,23,26,72,1,1
0,1,1,1,1,1,2,2,2,17,15,54,2,2
0,1,1,1,1,0,3,1,1,12,9,32,2,2
0,1,1,1,1,1,2,2,2,15,15,44,2,0
1,1,0,0,1,0,4,2,3,28,20,70,2,1
0,1,1,1,1,1,2,3,4,20,19,63,2,2
