Pcode,age,sex,study stress,Psychological distress,Dependency on Cell Phone,emotional resilience,INT,centralized emotional resilience,centralized study stress,Zage,Zsex,Zas,Zpd,Zma,Zar,ZINT,Zar,Zas
Pcode,age,sex,as,pd,ma,ar,,,,,,,,,,,,
CXCXGJW103,17,1,1.714286,4.583333,2.941176,3.9,-0.110500969,0.134198388,-0.82341502,1.403848089,-1.2142548,-1.8462525,2.610568946,0.374475017,0.276746317,-0.16169488,0.276746317,-1.8462525
CXRCOL205,16,2,2.142857,1,2,4.466667,-0.276732077,0.700865055,-0.39484359,-0.225166859,0.8357313,-0.8853141,-1.320665423,-0.751306192,1.445336451,-0.89991286,1.445336451,-0.8853141
GCRCLX212,16,2,2.714286,1.75,2,4.033333,0.047242083,0.267531722,0.17658498,-0.225166859,0.8357313,0.395937,-0.497848928,-0.751306192,0.551708701,0.53882838,0.551708701,0.395937
GDCHLL212,17,2,3,1.416667,1.941176,3.168989,-0.275905998,-0.596812541,0.46229926,1.403848089,0.8357313,1.0365625,-0.863545148,-0.821667518,-1.230757495,-0.89624431,-1.230757495,1.0365625
GDDGLT209,17,2,2.714286,2.666667,1.764706,3.533333,-0.041050406,-0.232468278,0.17658498,1.403848089,0.8357313,0.395937,0.507815678,-1.032751494,-0.479400241,0.14672907,-0.479400241,0.395937
GDSZLZ210,16,2,2.428571,3.416667,3.352941,4.066667,-0.032833195,0.300865055,-0.10912931,-0.225166859,0.8357313,-0.2446886,1.330632174,0.867004296,0.620449297,0.18322099,0.620449297,-0.2446886
GDSZWL201,16,2,2.714286,4.083333,4.529412,3.566667,-0.03516424,-0.199134945,0.17658498,-0.225166859,0.8357313,0.395937,2.062024615,2.274230808,-0.410659645,0.17286902,-0.410659645,0.395937
GDZQNC201,16,2,2.714286,3.333333,2.176471,3.8,0.006038922,0.034198388,0.17658498,-0.225166859,0.8357313,0.395937,1.239208119,-0.540222215,0.070524528,0.3558487,0.070524528,0.395937
GLQ112,16,1,3,2.083333,1.294118,3.566667,-0.092059938,-0.199134945,0.46229926,-0.225166859,-1.2142548,1.0365625,-0.132152707,-1.595642099,-0.410659645,-0.07979986,-0.410659645,1.0365625
GRWP202,17,2,2.142857,1.666667,3.176471,3.633333,0.052304251,-0.132468278,-0.39484359,1.403848089,0.8357313,-0.8853141,-0.589272983,0.655920319,-0.273178453,0.56130903,-0.273178453,-0.8853141
GRXRLH21027,16,2,3,1.083333,1.647059,3.733333,-0.015010061,-0.032468278,0.46229926,-0.225166859,0.8357313,1.0365625,-1.229241368,-1.173474146,-0.066956664,0.26237199,-0.066956664,1.0365625
GXBMT202,17,2,2.714286,1.916667,2.764706,3.533333,-0.041050406,-0.232468278,0.17658498,1.403848089,0.8357313,0.395937,-0.315000817,0.16339104,-0.479400241,0.14672907,-0.479400241,0.395937
GXCXCL103,16,1,3.142857,4.75,2.941176,2.966667,-0.483601632,-0.799134945,0.60515641,-0.225166859,-1.2142548,1.3568753,2.793417056,0.374475017,-1.647990376,-1.81860267,-1.647990376,1.3568753
GXCXGH212,16,2,2.142857,1.25,3.823529,3.4,0.144434423,-0.365801612,-0.39484359,-0.225166859,0.8357313,-0.8853141,-1.046393258,1.429894901,-0.754362626,0.97045116,-0.754362626,-0.8853141
GXCXGM204,16,2,2.142857,1.25,2.647059,4.033333,-0.105633186,0.267531722,-0.39484359,-0.225166859,0.8357313,-0.8853141,-1.046393258,0.022668389,0.551708701,-0.14007748,0.551708701,-0.8853141
GXCXHL106,16,1,3.285714,2.083333,3.647059,3.9,0.100382213,0.134198388,0.74801355,-0.225166859,-1.2142548,1.6771881,-0.132152707,1.218810924,0.276746317,0.7748191,0.276746317,1.6771881
GXCXHL212,16,2,1.428571,1.25,1.588235,4.566667,-0.888262904,0.800865055,-1.10912931,-0.225166859,0.8357313,-2.486878,-1.046393258,-1.243835471,1.65155824,-3.6156684,1.65155824,-2.486878
GXCXHX209,16,2,2.142857,1.166667,2.941176,4.133333,-0.145117546,0.367531722,-0.39484359,-0.225166859,0.8357313,-0.8853141,-1.137817313,0.374475017,0.75793049,-0.3154241,0.75793049,-0.8853141
GXCXHZ104,17,1,3,4.833333,1.941176,3.866667,0.046629841,0.100865055,0.46229926,1.403848089,-1.2142548,1.0365625,2.884841111,-0.821667518,0.20800572,0.53610946,0.20800572,1.0365625
GXCXJL106,17,1,2.428571,1.416667,2.411765,4.666667,-0.09831078,0.900865055,-0.10912931,1.403848089,-1.2142548,-0.2446886,-0.863545148,-0.258776913,1.857780028,-0.1075593,1.857780028,-0.2446886
GXCXLF108,17,1,2,1.583333,2.823529,4.033333,-0.143852004,0.267531722,-0.53770074,1.403848089,-1.2142548,-1.2056269,-0.680697038,0.233752366,0.551708701,-0.30980394,0.551708701,-1.2056269
GXCXLY211,16,2,2.857143,1.333333,2.058824,3.833333,0.021572476,0.067531722,0.31944212,-0.225166859,0.8357313,0.7162498,-0.954969203,-0.680944867,0.139265124,0.42483188,0.139265124,0.7162498
GXCXOX106,16,1,2.714286,1.666667,3.117647,3.733333,-0.00573341,-0.032468278,0.17658498,-0.225166859,-1.2142548,0.395937,-0.589272983,0.585558994,-0.066956664,0.30356879,-0.066956664,0.395937
GXCXQK205,16,2,2.857143,3.25,4.529412,3.1,-0.212685079,-0.665801612,0.31944212,-0.225166859,0.8357313,0.7162498,1.147784064,2.274230808,-1.373027991,-0.61548568,-1.373027991,0.7162498
GXDQCM111,17,1,2.428571,1.083333,2.117647,4.533333,-0.083760205,0.767531722,-0.10912931,1.403848089,-1.2142548,-0.2446886,-1.229241368,-0.610583541,1.582817644,-0.04294146,1.582817644,-0.2446886
