age,sex,pd,ma,INT,ar,as
1.403848089,-1.2142548,2.610568946,0.374475017,-0.16169488,0.276746317,-1.8462525
-0.225166859,0.8357313,-1.320665423,-0.751306192,-0.89991286,1.445336451,-0.8853141
-0.225166859,0.8357313,-0.497848928,-0.751306192,0.53882838,0.551708701,0.395937
1.403848089,0.8357313,-0.863545148,-0.821667518,-0.89624431,-1.230757495,1.0365625
1.403848089,0.8357313,0.507815678,-1.032751494,0.14672907,-0.479400241,0.395937
-0.225166859,0.8357313,1.330632174,0.867004296,0.18322099,0.620449297,-0.2446886
-0.225166859,0.8357313,2.062024615,2.274230808,0.17286902,-0.410659645,0.395937
-0.225166859,0.8357313,1.239208119,-0.540222215,0.3558487,0.070524528,0.395937
-0.225166859,-1.2142548,-0.132152707,-1.595642099,-0.07979986,-0.410659645,1.0365625
1.403848089,0.8357313,-0.589272983,0.655920319,0.56130903,-0.273178453,-0.8853141
-0.225166859,0.8357313,-1.229241368,-1.173474146,0.26237199,-0.066956664,1.0365625
1.403848089,0.8357313,-0.315000817,0.16339104,0.14672907,-0.479400241,0.395937
-0.225166859,-1.2142548,2.793417056,0.374475017,-1.81860267,-1.647990376,1.3568753
-0.225166859,0.8357313,-1.046393258,1.429894901,0.97045116,-0.754362626,-0.8853141
-0.225166859,0.8357313,-1.046393258,0.022668389,-0.14007748,0.551708701,-0.8853141
-0.225166859,-1.2142548,-0.132152707,1.218810924,0.7748191,0.276746317,1.6771881
-0.225166859,0.8357313,-1.046393258,-1.243835471,-3.6156684,1.65155824,-2.486878
-0.225166859,0.8357313,-1.137817313,0.374475017,-0.3154241,0.75793049,-0.8853141
1.403848089,-1.2142548,2.884841111,-0.821667518,0.53610946,0.20800572,1.0365625
1.403848089,-1.2142548,-0.863545148,-0.258776913,-0.1075593,1.857780028,-0.2446886
1.403848089,-1.2142548,-0.680697038,0.233752366,-0.30980394,0.551708701,-1.2056269
-0.225166859,0.8357313,-0.954969203,-0.680944867,0.42483188,0.139265124,0.7162498
-0.225166859,-1.2142548,-0.589272983,0.585558994,0.30356879,-0.066956664,0.395937
-0.225166859,0.8357313,1.147784064,2.274230808,-0.61548568,-1.373027991,0.7162498
1.403848089,-1.2142548,-1.229241368,-0.610583541,-0.04294146,1.582817644,-0.2446886
1.403848089,0.8357313,-0.040728652,0.093029715,-0.05909592,1.65155824,-0.2446886
-1.854181808,0.8357313,1.60490434,1.218810924,-0.66465509,-0.616881433,1.6771881
-0.225166859,0.8357313,-0.497848928,-0.951243531,-1.07525948,1.65155824,-0.8853141
1.403848089,0.8357313,-0.315000817,-0.188415588,0.22930501,-1.373027991,0.0756242
-0.225166859,0.8357313,1.239208119,1.359533575,0.61724824,0.75793049,0.395937
-3.483196756,0.8357313,-0.406424873,-0.258776913,0.70855484,0.551708701,0.7162498
-0.225166859,-1.2142548,2.244872725,-1.10311282,0.49015575,-0.68562203,-0.2446886
-0.225166859,0.8357313,-0.680697038,-0.329138239,0.33415269,0.070524528,0.0756242
-1.854181808,-1.2142548,1.330632174,-0.118054262,-0.74202937,-2.81658051,0.395937
-0.225166859,0.8357313,-0.680697038,0.937365622,-0.71006,-1.510509183,0.7162498
1.403848089,0.8357313,-0.223576762,0.796642971,0.60323697,-1.166806203,-0.2446886
-0.225166859,0.8357313,-0.954969203,0.796642971,0.32806233,0.001783932,-0.5650014
-0.225166859,0.8357313,0.050695403,-0.118054262,-1.42595274,2.064001817,-0.8853141
-1.854181808,-1.2142548,1.513480284,1.359533575,0.33245277,0.001783932,1.9975009
1.403848089,-1.2142548,0.006859692,-1.525280774,0.33080636,0.001783932,1.0365625
-0.225166859,0.8357313,0.233543513,1.018873585,0.5790635,-0.460768293,-0.5650014
-0.225166859,0.8357313,-0.772121093,0.16339104,-0.5671777,1.65155824,-0.5650014
-0.225166859,-1.2142548,-0.497848928,0.796642971,-0.18990122,-0.754362626,0.7162498
-1.854181808,0.8357313,-0.589272983,-1.243835471,-1.48696331,1.239114663,-1.5259397
-1.854181808,0.8357313,-0.406424873,-1.73636475,0.10754598,-0.58244056,0.395937
-0.225166859,-1.2142548,1.056360009,1.500256226,-3.36007498,-1.92295276,1.9975009
1.403848089,0.8357313,0.006859692,0.003268239,0.33665462,-0.014050192,-0.5650014
-0.225166859,0.8357313,-0.497848928,-0.399499564,0.19937545,0.551708701,-0.2446886
-0.225166859,0.8357313,-0.040728652,0.515197668,0.07013977,1.10163347,-0.2446886
